competitor,dr,url,traffic,position,top_keyword,volume,keywords_on_page,value_usd,segment_match
hellio,73.0,https://particulier.hellio.com/guide-solaire/aides/prix-panneau-solaire/tarif-rachat-photovoltaique/edf-oa,468,7,oa,3900,100,30429,yes
hellio,73.0,https://logementsocial.hellio.com/blog/actualites/bail-social,457,1,bail social,1700,5,4727,no
hellio,73.0,https://copropriete.hellio.com/blog/renovation-energetique/vmc-appartement,424,1,vmc appartement,600,37,8233,yes
hellio,73.0,https://www.hellio.com/actualites/reglementation/loi-aper,403,5,loi aper,4200,29,2826,no
hellio,73.0,https://particulier.hellio.com/blog/financement/maprimerenov-2024,396,6,ma prime renov 2024,6300,40,48595,yes
hellio,73.0,https://copropriete.hellio.com/blog/conseils/repartiteur-frais-chauffage,386,1,les répartiteurs de frais de chauffage que faut-il en penser,150,42,23698,yes
hellio,73.0,https://particulier.hellio.com/blog/conseils/composition-granules-bois,382,6,granules de bois,1500,39,10092,no
hellio,73.0,https://faq.hellio.com/comment-contacter-maprimerenov,372,5,maprimerenov telephone,300,156,24968,yes
hellio,73.0,https://copropriete.hellio.com/blog/renovation-energetique/plan-pluriannel-travaux,371,4,plan pluriannuel de travaux,2000,21,10544,yes
hellio,73.0,https://copropriete.hellio.com/blog/renovation-energetique/definition-calorifugeage,367,3,calorifugeage,3500,17,9876,yes
hellio,73.0,https://particulier.hellio.com/blog/travaux/depose-cuve-fioul,367,7,enlèvement cuve fioul gratuit,900,138,21160,no
hellio,73.0,https://copropriete.hellio.com/blog/vie-copro/assemblee-generale-extraordinaire-copropriete,345,1,assemblée générale extraordinaire copropriété,100,22,253,no
hellio,73.0,https://particulier.hellio.com/blog/conseils/dpe-obligatoire,339,5,dpe obligatoire,4800,34,11378,yes
hellio,73.0,https://copropriete.hellio.com/blog/renovation-energetique/pompe-chaleur-appartement-sans-unite-exterieure,337,3,pompe à chaleur appartement,800,51,23196,yes
hellio,73.0,https://particulier.hellio.com/blog/travaux/resistance-thermique,337,1,calcul resistance thermique,200,42,4402,no
hellio,73.0,https://logementsocial.hellio.com/blog/conseil/preavis-logement-social,323,3,préavis logement social,400,44,863,no
hellio,73.0,https://www.hellio.com/actualites/conseils/centrale-photovoltaique,320,1,centrale photovoltaique au sol,300,31,29750,no
hellio,73.0,https://particulier.hellio.com/blog/conseils/cache-pompe-chaleur,320,6,cache pompe à chaleur,3000,10,7090,yes
hellio,73.0,https://copropriete.hellio.com/blog/conseils/vmc-immeuble-collectif,316,1,vmc immeuble collectif,200,29,8734,yes
hellio,73.0,https://particulier.hellio.com/guide-solaire/aides/prix-panneau-solaire/revente-electricite-photovoltaique,308,6,revente electricité solaire,400,107,16176,yes
hellio,73.0,https://copropriete.hellio.com/blog/vie-copro/quote-part,290,3,quote-part,900,58,2406,no
hellio,73.0,https://particulier.hellio.com/blog/travaux/isolation-toiture-exterieur,290,1,isolation toiture exterieur,200,57,16228,yes
hellio,73.0,https://particulier.hellio.com/blog/conseils/reforme-dpe,290,5,nouveau dpe,1100,30,3165,yes
hellio,73.0,https://www.hellio.com/actualites/conseils/gtc-gestion-technique-centralisee,284,1,gtc signification,250,11,6608,no
hellio,73.0,https://copropriete.hellio.com/blog/renovation-energetique/pont-thermique,280,5,pont thermique,3800,17,3058,yes
hellio,73.0,https://www.hellio.com/actualites/conseils/hangar-photovoltaique-gratuit,275,1,hangar photovoltaique gratuit,80,34,28198,no
hellio,73.0,https://www.hellio.com/actualites/conseils/ombriere-parking,271,4,ombrière photovoltaique parking,500,19,25669,no
hellio,73.0,https://particulier.hellio.com/blog/financement/prime-cee,266,8,prime cee,8500,48,30691,yes
hellio,73.0,https://particulier.hellio.com/blog/financement/ma-prime-adapt,265,6,ma prime adapt 2025,3400,10,21275,yes
hellio,73.0,https://particulier.hellio.com/blog/financement/ma-prime-renov-fenetres,256,4,prime renov fenetre,500,61,22341,yes
hellio,73.0,https://copropriete.hellio.com/blog/conseils/chauffage-collectif,255,1,chauffage copropriété,200,27,15201,yes
hellio,73.0,https://logementsocial.hellio.com/blog/conseils/loyer-logement-social,249,1,prix loyer t2 logement social,50,84,1661,no
hellio,73.0,https://particulier.hellio.com/guide-solaire/tag/rendement-dun-panneau-solaire,247,8,rendement panneau solaire,3000,29,19531,yes
hellio,73.0,https://particulier.hellio.com/blog/conseils/eviter-arnaque-isolation-1-euro,245,4,eurocombles avis,1400,11,19743,yes
hellio,73.0,https://copropriete.hellio.com/blog/renovation-energetique/diagnostic-technique-global,244,3,dtg,2100,31,12837,yes
hellio,73.0,https://copropriete.hellio.com/blog/vie-copro/president-conseil-syndical,244,1,role du president du conseil syndical,100,25,528,no
hellio,73.0,https://particulier.hellio.com/guide-solaire/utilisation/panneau-solaire-maison/batterie,241,5,panneau solaire batterie,900,28,26735,yes
hellio,73.0,https://particulier.hellio.com/blog/conseils/ventilation-mecanique-repartie,238,1,vmr ventilation,250,13,2793,yes
hellio,73.0,https://particulier.hellio.com/blog/conseils/bilan-energetique-maison,238,5,bilan energetique,1800,30,20740,yes
hellio,73.0,https://copropriete.hellio.com/blog/conseils/pret-copro-100,237,1,copro 100,90,17,1868,no
hellio,73.0,https://logementsocial.hellio.com/blog/conseils/bailleur-social,236,11,bailleur social,4000,39,1566,no
hellio,73.0,https://logementsocial.hellio.com/blog/conseils/differences-hlm-logement-social,231,10,hlm,15000,66,1566,no
hellio,73.0,https://copropriete.hellio.com/blog/vie-copro/scission-copropriete,227,1,scission de copropriété,250,7,274,no
hellio,73.0,https://particulier.hellio.com/guide-solaire/utilisation/panneau-solaire-maison/toiture/reglementation,227,1,reglementation installation panneau solaire,100,34,16714,yes
hellio,73.0,https://particulier.hellio.com/blog/conseils/location-voiture-electrique-mois,227,5,voiture électrique location,250,47,15178,no
hellio,73.0,https://particulier.hellio.com/blog/financement/simulation-ma-prime-renov,222,9,ma prime renov simulation,2200,37,37709,yes
hellio,73.0,https://copropriete.hellio.com/blog/renovation-energetique/isolation-murs-interieurs-appartement,222,10,isolation intérieure,1200,72,10865,yes
hellio,73.0,https://logementsocial.hellio.com/blog/conseils/refus-logement-social,221,1,refuser un logement social après visite,200,16,0,no
hellio,73.0,https://logementsocial.hellio.com/blog/actualites/projet-loi-logement-abordable,221,1,loi logement social,250,9,4180,no
hellio,73.0,https://particulier.hellio.com/guide-solaire/utilisation/panneau-solaire-maison/installation,219,6,installation solaire,1100,36,43973,yes
hellio,73.0,https://faq.hellio.com/dimensions-panneau-photovoltaique,218,1,surface panneau solaire,200,64,15128,yes
hellio,73.0,https://copropriete.hellio.com/blog/conseils/panneau-solaire-appartement,218,3,panneau solaire balcon,600,27,14066,yes
hellio,73.0,https://particulier.hellio.com/blog/actualites/calendrier-interdiction-location-dpe,213,1,calendrier dpe,150,44,2207,yes
hellio,73.0,https://faq.hellio.com/connexion-maprimerenov,205,5,ma prime rénov mon compte,1500,89,16822,yes
hellio,73.0,https://particulier.hellio.com/guide-solaire/aides/pret-panneau-solaire,204,2,pret panneaux photovoltaique,150,42,36501,yes
hellio,73.0,https://copropriete.hellio.com/blog/vie-copro/charges-copropriete-locataire,199,1,charge de copropriété locataire,150,49,1472,yes
hellio,73.0,https://particulier.hellio.com/blog/conseils/chaudiere-biofioul,199,7,biofioul,600,50,6119,yes
hellio,73.0,https://copropriete.hellio.com/blog/vie-copro/fonds-roulement,197,1,fonds de roulement copropriété,150,17,504,no
hellio,73.0,https://copropriete.hellio.com/blog/renovation-energetique/aide-ravalement-facade,196,10,ravalement de façade,11000,23,23990,yes
hellio,73.0,https://particulier.hellio.com/guide-solaire/pieces/batterie-panneau-solaire/photovoltaique,195,5,panneau solaire avec batterie,3400,7,20890,yes
hellio,73.0,https://www.hellio.com/actualites/reglementation/loi-panneaux-solaires-parking,193,2,parking avec panneau solaire,100,42,15091,yes
hellio,73.0,https://copropriete.hellio.com/blog/blog/vie-copro/impayes,193,5,loi alur impayés copropriété,400,26,235,no
hellio,73.0,https://logementsocial.hellio.com/blog/conseils/acheter-logement-social,192,4,nouvelle loi achat logement social,500,54,2069,no
hellio,73.0,https://particulier.hellio.com/blog/travaux/litige-artisan,192,1,recours contre artisan travail mal fait,90,30,9097,no
hellio,73.0,https://copropriete.hellio.com/blog/vie-copro/loi-elan,186,1,loi elan copropriété,600,9,331,no
hellio,73.0,https://logementsocial.hellio.com/blog/actualites/plafonds-ressources-logement-social,181,6,quel est le revenu maximum pour avoir un logement social,350,49,281,no
hellio,73.0,https://copropriete.hellio.com/blog/vie-copro/jurisprudence-travaux-copropriete,174,1,jurisprudence travaux copropriété,250,15,5383,no
hellio,73.0,https://particulier.hellio.com/blog/conseils/prix-granule-bois,168,8,prix granulés bois,1200,57,3739,no
hellio,73.0,https://copropriete.hellio.com/blog/vie-copro/copropriete-sans-syndic,166,4,copropriété sans syndic,500,23,4642,no
hellio,73.0,https://particulier.hellio.com/blog/conseils/chauffage-appoint-economique,166,6,chauffage d'appoint économique,2200,19,1392,yes
hellio,73.0,https://particulier.hellio.com/avis,163,1,hellio avis,250,5,23898,no
hellio,73.0,https://faq.hellio.com/coefficient-isolation-aides-renovation,162,1,coefficient résistance thermique,150,50,2355,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/isolation-phonique/comment-isoler-phoniquement-un-mur-entre-voisins/,1854,4,isolation phonique mur,3500,100,31634,yes
sonergia,49.0,https://sonergia.fr/,1033,1,sonergia,1200,10,93335,no
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/pompe-a-chaleur/prix-pompe-a-chaleur-air-eau-quel-budget-moyen-prevoir/,959,5,pompe a chaleur air eau,11000,96,120133,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/mur/quelle-epaisseur-pour-lisolation-dun-mur-interieur/,894,10,isolation mur intérieur,7800,103,28311,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/solaire/panneaux-photovoltaiques/comment-suivre-sa-production-photovoltaique/,558,1,index injection linky,500,38,10025,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/mur/quelle-isolation-mince-pour-les-murs-interieurs/,554,1,isolation mur interieur mince,350,83,7656,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/poele-a-granules/prix-des-granules-de-bois-evolution-tarifs-et-perspectives/,532,1,prix du pellets,100,209,11449,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/sol/comment-realiser-lisolation-dun-sous-sol-humide-les-solutions/,451,4,isolation sous sol,900,53,23106,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/isolation-phonique/isoler-un-plafond-du-bruit-enjeux-et-methode/,405,1,meilleur isolant phonique plafond,200,34,8347,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/pompe-a-chaleur/pompe-a-chaleur-a-1-e-opportunite-ou-arnaque/,361,1,pompe a chaleur 1€,500,53,95307,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/solaire/panneaux-photovoltaiques/qui-verse-la-prime-a-lautoconsommation/,349,7,aide panneau solaire 2024,4500,62,36593,yes
sonergia,49.0,https://sonergia.fr/guide-des-aides/autres-aides/5-aides-financieres-pour-renover-une-maison-ancienne/,342,1,aide à la rénovation maison ancienne,700,14,31200,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/isolation-phonique/fibre-de-bois-ou-laine-de-roche-quel-isolant-choisir-pour-lisolation-phonique/,342,1,isolation phonique laine de bois,50,50,7010,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/sol/comment-realiser-lisolation-thermique-de-votre-sol-en-beton/,335,1,isoler une dalle béton par dessus,150,51,7819,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/pompe-a-chaleur/prix-pompe-a-chaleur-eau-eau-quel-budget-pour-votre-chauffage/,300,4,pompe a chaleur eau eau,1700,32,20148,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/materiaux-isolants/lepaisseur-de-laine-de-verre-ideale-pour-isoler/,296,1,epaisseur laine de verre,600,63,2714,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/sol/comment-isoler-un-sol-deja-carrele-les-solutions/,274,1,parquet isolant thermique sur carrelage,60,51,5998,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/thermostat-connecte/quel-est-le-fonctionnement-dun-thermostat-connecte-sans-fil/,270,7,thermostat,18000,19,4929,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/chaudiere-au-fioul/interdiction-de-la-chaudiere-au-fioul-quen-est-il/,264,2,chaudière fioul interdit,250,44,1930,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/poele-a-granules/tarif-dentretien-dun-poele-a-granules-tous-les-prix-a-prevoir/,244,3,tarif entretien poêle à granulés,350,36,7478,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/materiaux-isolants/le-polyurethane-lisolation-mince-par-excellence/,241,6,isolation polyuréthane,1300,22,5721,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/quel-coefficient-de-resistance-thermique-pour-bien-isoler/,231,1,quel r pour une bonne isolation,250,63,4436,yes
sonergia,49.0,https://sonergia.fr/guide-des-aides/reglementation/dpe-et-location-quelles-obligations-en-2024/,223,1,quel dpe pour louer,300,56,2387,yes
sonergia,49.0,https://sonergia.fr/guide-des-aides/reglementation/le-dpe-est-il-obligatoire-pour-la-vente-dun-logement/,215,4,dpe vente maison,250,64,8926,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/materiaux-isolants/confort-dete-les-meilleurs-isolants-contre-la-chaleur/,191,1,matériaux qui repousse la chaleur,150,25,4437,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/isolation-phonique/les-solutions-pour-isoler-phoniquement-un-sol/,188,9,isolation phonique sol,700,38,4285,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/thermostat-connecte/pourquoi-passer-au-thermostat-connecte/,184,8,thermostat connecté,5300,5,2675,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/pompe-a-chaleur/cest-quoi-un-systeme-solaire-combine-avec-pompe-a-chaleur/,164,1,système solaire combiné pompe à chaleur,150,13,14236,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/passoires-thermiques/la-vente-dune-passoire-thermique-est-elle-interdite/,162,1,vente passoire thermique,70,57,1613,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/sol/comment-et-pourquoi-realiser-lisolation-du-sol-de-votre-garage/,157,2,isolation sol garage,200,15,1755,yes
sonergia,49.0,https://sonergia.fr/guide-des-aides/autres-aides/residence-secondaire-quelles-aides-pour-renover/,154,1,ma prime renov residence secondaire,150,44,7692,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/quel-systeme-de-chauffage-choisir-le-comparatif-complet/,153,1,quel est le meilleur chauffage,80,25,7967,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/chaudiere-electrique/chaudiere-electrique-un-bon-choix/,144,6,chaudière électrique nouvelle génération,350,39,5284,yes
sonergia,49.0,https://sonergia.fr/guide-des-aides/reglementation/dpe-et-petites-surfaces-quel-impact-du-nouveau-mode-de-calcul/,130,13,dpe nouvelle réglementation,1600,25,803,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/thermostat-connecte/tetes-thermostatiques-connectees-fonctionnement-et-utilite/,125,7,robinet thermostatique radiateur connecté,200,35,2865,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/chaudiere-au-fioul/combien-coute-le-remplacement-dune-chaudiere-au-fioul/,113,1,cout remplacement chaudiere fioul,40,35,12398,yes
sonergia,49.0,https://sonergia.fr/guide-des-aides/autres-aides/le-guide-du-cheque-energie-2024/,112,18,chèque énergie 2024,27000,16,6077,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/pompe-a-chaleur/quel-entretien-prevoir-pour-une-pompe-a-chaleur/,102,8,entretien pompe à chaleur,900,14,9499,yes
sonergia,49.0,https://sonergia.fr/nous-decouvrir/efficacite-energetique/revision-de-la-directive-sur-la-performance-energetique-des-batiments-sonergia-fait-le-point/,94,1,dpeb,90,1,,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/materiaux-isolants/le-polystyrene-extrude-lisolation-accessible-et-efficace/,93,4,polystyrène extrude,300,31,762,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/chauffage-dappoint-economique-plus-de-confort-sans-vous-ruiner/,90,6,meilleur chauffage d'appoint sans électricité,1100,16,841,yes
sonergia,49.0,https://sonergia.fr/guide-des-aides/autres-aides/comment-etre-exonere-de-taxe-fonciere-pour-travaux-deconomies-denergie/,82,1,exonération taxe foncière 5 ans rt 2012,60,45,483,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/radiateurs-electriques-basse-consommation-comment-choisir/,78,5,radiateur électrique basse consommation,1300,5,1234,yes
sonergia,49.0,https://sonergia.fr/guide-des-aides/reglementation/dpe-d-une-classe-energetique-dans-la-moyenne/,77,9,dpe d,2100,27,1223,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/isolation-phonique/les-fondamentaux-de-lisolation-phonique/,72,14,isolation phonique,8300,3,1584,yes
sonergia,49.0,https://sonergia.fr/pdf/B2B2C/PROS-CHA/Note-de-dimensionnement.pdf,71,5,note de dimensionnement pac,300,21,2182,no
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/pompe-a-chaleur/prix-par-type-de-pompe-a-chaleur-decouvrez-les-tarifs-des-pac/,68,7,coût pompe à chaleur,200,29,7924,yes
sonergia,49.0,https://sonergia.fr/guide-des-aides/reglementation/dpe-et-maison-ancienne-ce-quil-faut-savoir/,67,7,dpe maison ancienne,600,14,3561,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/chaudiere-au-fioul/prix-du-fioul-explications-et-astuces-pour-reduire-son-cout/,66,6,évolution prix fuel domestique 10 ans,450,21,764,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/isolation-phonique/comment-ameliorer-lisolation-phonique-des-fenetres/,66,5,isolation phonique fenetre,250,15,3476,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/sol/isolation-du-plafond-dun-sous-sol-des-economies-a-la-cle/,63,8,isolation sous sol plafond,250,16,1463,yes
sonergia,49.0,https://sonergia.fr/guide-des-aides/primes-energie/prime-energie-cee/la-prime-energie-une-aide-a-la-renovation-accessible-aux-locataires/,63,1,ma prime renov locataire,150,9,3223,yes
sonergia,49.0,https://sonergia.fr/guide-des-aides/primes-energie/prime-energie-cee/prime-energie-les-montants-pour-une-pompe-a-chaleur/,62,1,montant prime cee pompe à chaleur,80,12,10112,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/solaire/panneaux-photovoltaiques/panneaux-solaires-quel-est-le-retour-sur-investissement/,59,3,retour sur investissement panneau solaire,150,14,7825,yes
sonergia,49.0,https://sonergia.fr/guide-des-aides/primes-energie/prime-energie-cee/le-guide-de-la-prime-energie-cee/,57,1,sonergia,1200,8,6532,yes
sonergia,49.0,https://sonergia.fr/guide-des-aides/autres-aides/ma-prime-renov/est-il-possible-de-vendre-son-logement-apres-avoir-beneficie-de-maprimerenov/,57,5,doit on rembourser les aides de l'anah,300,9,911,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/chauffe-eau/prix-chauffe-eau-thermodynamique-2025-achat-pose-aides/,56,7,prix chauffe-eau thermodynamique,700,20,3468,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/mur/comment-isoler-un-mur-humide-diagnostic-et-solutions/,49,4,isolation mur humide,150,16,2255,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/pompe-a-chaleur/quelle-puissance-electrique-choisir-pour-une-pompe-a-chaleur-air-eau/,48,3,quelle puissance électrique pour une pompe à chaleur air-eau,60,25,2619,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/passoires-thermiques/bonus-de-sortie-de-passoire-thermique-cest-quoi/,48,1,bonus sortie de passoire,90,11,2365,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/pompe-a-chaleur/prix-climatisation-air-air-cout-dachat-et-dinstallation/,47,8,cout installation pac air air,100,36,4997,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/pompe-a-chaleur/quelle-est-la-consommation-delectricite-dune-pompe-a-chaleur/,45,7,consommation d'une pompe à chaleur,200,25,1563,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/materiaux-isolants/laine-de-roche-quelle-epaisseur-pour-une-isolation-reussie/,44,5,epaisseur laine de roche,200,16,774,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/chaudiere-biomasse/prix-dune-chaudiere-biomasse-tout-pour-etablir-votre-budget/,40,3,prix chaudiere biomasse,100,15,1922,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/pompe-a-chaleur/prix-pompe-a-chaleur-maison-120-m%C2%B2-couts-dinstallation-aides/,38,5,prix pompe à chaleur maison 120m2,200,11,3915,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/materiaux-isolants/extrude-ou-expanse-quel-polystyrene-choisir-pour-isoler/,37,7,polystyrène extrudé ou expansé,350,16,53,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/pompe-a-chaleur/pompe-a-chaleur-reversible-ce-qui-fait-la-difference/,36,12,pompe à chaleur rr,300,21,3156,yes
sonergia,49.0,https://sonergia.fr/guide-des-aides/reglementation/dpe-e-une-classe-energetique-a-depasser/,34,1,faut-il acheter dpe e,60,13,1135,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/thermostat-connecte/quel-thermostat-connecte-choisir-pour-une-pompe-a-chaleur/,34,6,thermostat connecté pompe à chaleur,250,14,807,yes
sonergia,49.0,https://sonergia.fr/guide-des-aides/primes-energie/prime-energie-cee/quelles-sont-les-conditions-deligibilite-de-la-prime-energie-cee/,33,8,montant prime cee,150,20,2922,yes
sonergia,49.0,https://sonergia.fr/simulation-prime/,32,1,sonergia,1200,8,3254,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/3-solutions-pour-supprimer-les-ponts-thermiques/,28,1,comment éviter les ponts thermiques,30,9,368,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/chaudiere-a-gaz/quelles-aides-pour-changer-une-chaudiere-gaz-en-2025/,28,10,aide changement chaudiere,200,30,4340,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/combles/lisolation-des-combles-a-1-euro-toujours-dactualite/,26,4,isolation rampant de toiture à 1 euro,80,26,4535,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/chaudiere-biomasse/chaudiere-bois-dechiquete-un-bon-choix-pour-vous/,25,1,bois dechiquete pour chaudiere,40,9,755,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/materiaux-isolants/laine-de-verre-ou-polyurethane-quel-isolant-choisir/,24,1,laine de verre ou polyuréthane,30,8,334,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/pompe-a-chaleur/pompe-a-chaleur-une-solution-performante-de-chauffage-central/,24,8,pompe à chaleur chauffage central,200,9,2784,yes
sonergia,49.0,https://sonergia.fr/guide-des-aides/autres-aides/proprietaires-bailleurs-quelles-sont-les-aides-pour-renover-votre-logement-locatif/,24,5,aide rénovation propriétaire bailleur,150,14,1543,yes
sonergia,49.0,https://sonergia.fr/professionnels/,24,1,sonergia,1200,4,2202,no
sonergia,49.0,https://sonergia.fr/conseils-travaux/isolation/pare-vapeur-et-isolation-ce-quil-faut-savoir/,23,7,par vapeur isolation,250,12,47,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/pompe-a-chaleur/quelles-sont-les-differences-entre-pompe-a-chaleur-air-air-et-air-eau/,23,6,pompes à chaleur air air,200,10,1972,yes
sonergia,49.0,https://sonergia.fr/guide-des-aides/autres-aides/ma-prime-renov/arnaque-maprimerenov-comment-leviter/,23,7,arnaque prime renov,150,9,731,yes
